BPM,AvgBPM,IR_value,Accel_X,Accel_Y,Accel_Z,A_total
0.0,0.0,1581,-3.53,-9.69,1.06,10.37
0.0,0.0,1599,-3.57,-9.65,1.18,10.36
0.0,0.0,1590,-3.57,-9.61,1.18,10.32
0.0,0.0,1599,-3.61,-9.57,1.18,10.3
0.0,0.0,1594,-3.57,-9.65,1.14,10.35
0.0,0.0,1603,-3.53,-9.65,1.06,10.33
0.0,0.0,1589,-3.61,-9.65,1.1,10.36
0.0,0.0,1594,-3.57,-9.69,1.22,10.4
0.0,0.0,1599,-3.57,-9.65,1.14,10.35
0.0,0.0,1593,-3.57,-9.65,1.14,10.35
0.0,0.0,1618,-3.53,-9.65,1.14,10.34
0.0,0.0,1597,-3.53,-9.61,1.18,10.31
0.0,0.0,1600,-3.53,-9.69,1.1,10.37
0.0,0.0,1595,-3.53,-9.57,1.26,10.28
0.0,0.0,1606,-3.57,-9.65,1.18,10.36
0.0,0.0,1615,-3.57,-9.77,1.06,10.45
0.0,0.0,1584,-3.57,-9.73,1.18,10.43
0.0,0.0,1601,-3.57,-9.69,1.06,10.38
0.0,0.0,1599,-3.57,-9.65,1.22,10.36
0.0,0.0,1597,-3.57,-9.65,1.14,10.35
0.0,0.0,1620,-3.53,-9.65,1.1,10.33
0.0,0.0,1590,-3.45,-9.69,1.26,10.36
0.0,0.0,1594,-3.57,-9.65,1.18,10.36
0.0,0.0,1598,-3.53,-9.77,1.1,10.44
0.0,0.0,1601,-3.61,-9.69,1.06,10.39
0.0,0.0,1597,-3.49,-9.69,1.02,10.35
0.0,0.0,1597,-3.53,-9.65,1.14,10.34
0.0,0.0,1604,-3.57,-9.65,1.22,10.36
0.0,0.0,1597,-3.53,-9.61,1.1,10.3
0.0,0.0,1597,-3.61,-9.77,0.98,10.46
0.0,0.0,1601,-3.57,-9.65,1.1,10.35
0.0,0.0,1594,-3.53,-9.61,1.22,10.31
0.0,0.0,1595,-3.53,-9.73,1.14,10.41
0.0,0.0,1592,-3.57,-9.57,1.22,10.29
0.0,0.0,1613,-3.57,-9.61,1.14,10.31
0.0,0.0,1597,-3.53,-9.65,1.1,10.33
0.0,0.0,1604,-3.57,-9.53,1.22,10.25
0.0,0.0,1588,-3.57,-9.65,1.14,10.35
0.0,0.0,1601,-3.53,-9.73,1.14,10.41
0.0,0.0,1599,-3.57,-9.57,1.18,10.28
0.0,0.0,1613,-3.57,-9.69,1.1,10.38
0.0,0.0,1592,-3.57,-9.65,1.14,10.35
0.0,0.0,1596,-3.53,-9.65,1.14,10.34
0.0,0.0,1586,-3.53,-9.69,1.22,10.38
0.0,0.0,1607,-3.53,-9.69,1.18,10.38
0.0,0.0,1598,-3.53,-9.65,1.22,10.35
0.0,0.0,1621,-3.53,-9.65,1.14,10.34
0.0,0.0,1587,-3.57,-9.65,1.1,10.35
0.0,0.0,1596,-3.49,-9.65,1.18,10.33
0.0,0.0,1599,-3.57,-9.57,1.14,10.28
0.0,0.0,1592,-3.57,-9.69,1.14,10.39
0.0,0.0,1588,-3.53,-9.61,1.18,10.31
0.0,0.0,1597,-3.61,-9.69,1.14,10.4
0.0,0.0,1596,-3.53,-9.69,1.1,10.37
0.0,0.0,1597,-3.53,-9.65,1.18,10.34
0.0,0.0,1602,-3.49,-9.69,1.1,10.36
0.0,0.0,1599,-3.57,-9.69,1.1,10.38
0.0,0.0,1613,-3.57,-9.65,1.1,10.35
0.0,0.0,1585,-3.53,-9.61,1.18,10.31
0.0,0.0,1581,-3.53,-9.65,1.14,10.34
0.0,0.0,1601,-3.57,-9.69,1.02,10.38
0.0,0.0,1602,-3.57,-9.61,1.22,10.32
0.0,0.0,1601,-3.65,-9.69,1.06,10.41
0.0,0.0,1598,-3.61,-9.61,1.14,10.33
0.0,0.0,1595,-3.57,-9.65,1.18,10.36
0.0,0.0,1602,-3.57,-9.65,1.06,10.34
0.0,0.0,1597,-3.57,-9.61,1.22,10.32
0.0,0.0,1605,-3.53,-9.61,1.1,10.3
0.0,0.0,1593,-3.57,-9.65,1.18,10.36
0.0,0.0,1594,-3.53,-9.61,1.18,10.31
0.0,0.0,1591,-3.57,-9.69,1.14,10.39
0.0,0.0,1576,-3.53,-9.69,1.18,10.38
0.0,0.0,1599,-3.53,-9.69,1.18,10.38
0.0,0.0,1598,-3.57,-9.65,1.14,10.35
0.0,0.0,1600,-3.57,-9.69,1.1,10.38
0.0,0.0,1619,-3.53,-9.65,1.22,10.35
0.0,0.0,1601,-3.53,-9.65,1.18,10.34
0.0,0.0,1585,-3.57,-9.57,1.18,10.28
0.0,0.0,1601,-3.53,-9.69,1.14,10.37
0.0,0.0,1596,-3.57,-9.69,1.1,10.38
0.0,0.0,1595,-3.53,-9.57,1.18,10.27
0.0,0.0,1593,-3.57,-9.65,1.14,10.35
0.0,0.0,1591,-3.57,-9.65,1.18,10.36
0.0,0.0,1600,-3.53,-9.69,1.14,10.37
0.0,0.0,1600,-3.53,-9.65,1.18,10.34
0.0,0.0,1602,-3.57,-9.61,1.1,10.31
0.0,0.0,1591,-3.53,-9.65,1.14,10.34
0.0,0.0,1588,-3.57,-9.61,1.1,10.31
0.0,0.0,1598,-3.57,-9.69,1.22,10.4
0.0,0.0,1596,-3.57,-9.61,1.22,10.32
0.0,0.0,1597,-3.57,-9.69,1.22,10.4
0.0,0.0,1598,-3.49,-9.61,1.14,10.29
0.0,0.0,1623,-3.57,-9.65,1.1,10.35
0.0,0.0,1598,-3.57,-9.69,1.14,10.39
0.0,0.0,1599,-3.53,-9.65,1.14,10.34
0.0,0.0,1593,-3.61,-9.65,1.14,10.37
0.0,0.0,1593,-3.57,-9.65,1.14,10.35
0.0,0.0,1599,-3.49,-9.65,1.37,10.35
0.0,0.0,1622,-3.49,-9.73,1.14,10.4
0.0,0.0,1597,-3.57,-9.57,1.18,10.28
0.0,0.0,1578,-3.53,-9.69,1.14,10.37
0.0,0.0,1593,-3.53,-9.69,1.1,10.37
0.0,0.0,1597,-3.57,-9.61,1.14,10.31
0.0,0.0,1616,-3.53,-9.69,1.22,10.38
0.0,0.0,1590,-3.53,-9.69,1.22,10.38
0.0,0.0,1594,-3.57,-9.61,1.14,10.31
0.0,0.0,1606,-3.57,-9.65,1.1,10.35
0.0,0.0,1598,-3.53,-9.69,1.14,10.37
0.0,0.0,1589,-3.57,-9.65,1.1,10.35
0.0,0.0,1596,-3.57,-9.61,1.14,10.31
0.0,0.0,1592,-3.57,-9.65,1.22,10.36
0.0,0.0,1603,-3.53,-9.69,1.1,10.37
0.0,0.0,1585,-3.57,-9.61,1.18,10.32
0.0,0.0,1596,-3.57,-9.65,1.18,10.36
0.0,0.0,1606,-3.57,-9.65,1.18,10.36
0.0,0.0,1618,-3.57,-9.65,1.18,10.36
0.0,0.0,1587,-3.57,-9.65,1.14,10.35
0.0,0.0,1581,-3.53,-9.69,1.14,10.37
0.0,0.0,1597,-3.49,-9.65,1.18,10.33
0.0,0.0,1603,-3.57,-9.65,1.1,10.35
0.0,0.0,1597,-3.57,-9.61,1.14,10.31
0.0,0.0,1604,-3.53,-9.61,1.18,10.31
0.0,0.0,1579,-3.57,-9.65,1.14,10.35
0.0,0.0,1598,-3.57,-9.65,1.14,10.35
0.0,0.0,1597,-3.49,-9.57,1.18,10.26
0.0,0.0,1603,-3.57,-9.57,1.1,10.27
0.0,0.0,1594,-3.53,-9.73,1.1,10.41
0.0,0.0,1598,-3.61,-9.73,1.02,10.43
0.0,0.0,1621,-3.57,-9.77,1.1,10.46
0.0,0.0,1611,-3.53,-9.73,1.14,10.41
0.0,0.0,1611,-3.57,-9.69,1.18,10.39
0.0,0.0,1608,-3.57,-9.69,1.18,10.39
0.0,0.0,1609,-3.61,-9.65,1.22,10.37
